Pfam RNA binding domains	number of proteins in RBP census
2_5_RNA_ligase	0
2OG-FeII_Oxy	0
2OG-FeII_Oxy_2	3
3_5_exonuc	0
5_3_exonuc	0
5_3_exonuc_N	0
A_deamin	6
AAR2	1
AARP2CN	2
Aconitase	2
Aconitase_C	2
AD	1
AdoMet_MTase	1
AF-4	4
Agenet	0
Ago_hook	3
AKAP7_NLS	2
AKAP95	3
Alba	2
ANTAR	0
Anticodon_1	8
APO_RNA-bind	0
APOBEC_C	0
APOBEC_N	6
Arb1	0
Arb2	0
Arg_tRNA_synt_N	1
ARS2	1
ASCH	0
AviRa	0
AXH	2
B2	0
B3_4	2
B5	1
BDHCT	0
Beta-Casp	4
Bin3	2
BOP1NT	1
Brix	5
BRK	0
BTV_NS2	0
Btz	1
Bud13	1
BUD22	1
Bystin	1
CAF1	4
Calreticulin	3
Caprin-1_C	2
CAT_RBD	0
CBF	3
CBFNT	3
Clp1	2
CM1	0
CM2	0
CMS1	1
CNPase	1
CPDase	0
CPL	1
CPSF_A	2
CPSF73-100_C	1
CRM1_C	4
CRS1_YhbY	0
CSD	8
CWC25	1
Cwf_Cwc_15	2
cwf18	0
cwf21	3
CwfJ_C_1	2
CwfJ_C_2	2
DALR_1	2
DALR_2	0
DAP3	1
DBP10CT	1
DbpA	0
DBR1	1
DCP1	2
DCP2	1
DcpS	1
DcpS_C	3
DEAD	62
DEAD_assoc	0
DHHA1	1
DKCLD	1
DNA_RNApol_7kD	1
DND1_DSRM	4
DRIM	1
DRY_EERY	2
dsrm	21
dsRNA_bind	0
DUF1325	0
DUF1387	2
DUF1604	1
DUF1669	0
DUF1693	1
DUF1866	0
DUF1897	2
DUF1917	1
DUF2040	1
DUF2051	2
DUF2356	1
DUF2363	1
DUF2414	3
DUF2638	1
DUF2650	1
DUF382	1
DUF446	0
DUF947	1
Dus	4
DZF	5
Ebola_NP	0
Ebp2	1
ECR1_N	2
EF_TS	1
EF1_GNE	2
EF1G	1
EFG_IV	4
efThoc1	1
EIAV_Rev	0
EIF_2_alpha	1
eIF_4EBP	0
eIF_4G1	0
eIF-1a	3
eIF-3_zeta	1
eIF-3c_N	2
eIF-5_eIF-2B	2
eIF-5a	3
eIF2_C	2
eIF2A	2
eIF3_N	1
eIF3_p135	0
eIF3_subunit	1
eIF3g	1
EIF4E-T	1
EMG1	1
Endonuclea_NS_2	0
Endonuclease_5	1
Endonuclease_NS	2
EndoU_bacteria	0
eRF1_1	2
eRF1_2	2
