source	interaction	target
PTBP1_411	link	PTBP1
RBFOX2_359	link	RBFOX2
YBX3_248	link	YBX3
PTBP1_RBFOX2_170	link	PTBP1
PTBP1_RBFOX2_170	link	RBFOX2
PEBP1_72	link	PEBP1
HNRNPA1_67	link	HNRNPA1
HNRNPC_62	link	HNRNPC
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	YBX3
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	PTBP1
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	RBFOX2
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	HNRNPC
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	IGF2BP2A
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	IGF2BP1
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	HNRNPA1
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	HUR
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	IGF2BP3
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	HSPA8
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	PEBP1
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62	link	NAP1L1
