node_description	node_type	node_size	id
YBX3	RBP	100	YBX3
PTBP1	RBP	100	PTBP1
RBFOX2	RBP	100	RBFOX2
HNRNPC	RBP	100	HNRNPC
IGF2BP2A	RBP	100	IGF2BP2A
IGF2BP1	RBP	100	IGF2BP1
HNRNPA1	RBP	100	HNRNPA1
HUR	RBP	100	HUR
IGF2BP3	RBP	100	IGF2BP3
YTHDF1	RBP	100	YTHDF1
HSPA8	RBP	100	HSPA8
PEBP1	RBP	100	PEBP1
NAP1L1	RBP	100	NAP1L1
DNAJA1	RBP	100	DNAJA1
FSCN1	RBP	100	FSCN1
ABCE1	RBP	100	ABCE1
HSPA5	RBP	100	HSPA5
MAPRE1	RBP	100	MAPRE1
NASP	RBP	100	NASP
BRD2	RBP	100	BRD2
STMN1	RBP	100	STMN1
PTBP1	RBP_overlap	411	PTBP1_411
RBFOX2	RBP_overlap	359	RBFOX2_359
YBX3	RBP_overlap	248	YBX3_248
PTBP1_RBFOX2	RBP_overlap	170	PTBP1_RBFOX2_170
PEBP1	RBP_overlap	72	PEBP1_72
HNRNPA1	RBP_overlap	67	HNRNPA1_67
HNRNPC	RBP_overlap	62	HNRNPC_62
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2	RBP_overlap	62	YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_62
YBX3_PTBP1	RBP_overlap	55	YBX3_PTBP1_55
IGF2BP2A	RBP_overlap	52	IGF2BP2A_52
YBX3_RBFOX2	RBP_overlap	51	YBX3_RBFOX2_51
FSCN1	RBP_overlap	46	FSCN1_46
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_YTHDF1_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_STMN1	RBP_overlap	46	YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_YTHDF1_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_STMN1_46
HSPA8	RBP_overlap	45	HSPA8_45
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_YTHDF1_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2	RBP_overlap	45	YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_YTHDF1_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_45
STMN1	RBP_overlap	44	STMN1_44
YTHDF1	RBP_overlap	40	YTHDF1_40
IGF2BP1	RBP_overlap	39	IGF2BP1_39
YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_STMN1	RBP_overlap	39	YBX3_PTBP1_RBFOX2_HNRNPC_IGF2BP2A_IGF2BP1_HNRNPA1_HUR_IGF2BP3_HSPA8_PEBP1_NAP1L1_DNAJA1_FSCN1_ABCE1_HSPA5_MAPRE1_NASP_BRD2_STMN1_39
PTBP1_RBFOX2_STMN1	RBP_overlap	37	PTBP1_RBFOX2_STMN1_37
HUR	RBP_overlap	36	HUR_36
YBX3_PTBP1_RBFOX2	RBP_overlap	32	YBX3_PTBP1_RBFOX2_32
NAP1L1	RBP_overlap	28	NAP1L1_28
ABCE1	RBP_overlap	27	ABCE1_27
MAPRE1	RBP_overlap	23	MAPRE1_23
DNAJA1	RBP_overlap	22	DNAJA1_22
HSPA5	RBP_overlap	21	HSPA5_21
PTBP1_HNRNPC	RBP_overlap	21	PTBP1_HNRNPC_21
YBX3_HNRNPA1	RBP_overlap	21	YBX3_HNRNPA1_21
PTBP1_STMN1	RBP_overlap	20	PTBP1_STMN1_20
