"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP3wt_rep1"	"IGF2BP3wt_rep2"	"IGF2BP3I474M_rep1"	"IGF2BP3I474M_rep2"	"IGF2BP3R525C_rep1"	"IGF2BP3R525C_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr1"	1392554	1392566	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	20.775	25.61571429	7.1625	15.56666667	11.29333333	13.62	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"3UTR"
"chr1"	1440739	1440747	"IGF2BP3wt_final"	"+"	12.165	12.72	2.78	13.26	5.1	7.155	"ENSG00000179403.12"	"VWA1"	"protein_coding"	"3UTR"
"chr1"	1564768	1564782	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	9.94	5.07375	2.973333333	10.115	4.577142857	12.98555556	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"CDS"
"chr1"	1564817	1564825	"IGF2BP3wt_final"	"-"	7.3425	8.094	0	3.526666667	3.66	9.256666667	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"CDS"
"chr1"	1785334	1785342	"IGF2BP3R525C_final"	"-"	9.815	13.6575	1.846666667	11.99142857	11.565	7.692	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1785418	1785426	"IGF2BP3wt_final"	"-"	16.542	4.975	5.195	0.265	0.435	3.2975	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1790530	1790538	"IGF2BP3wt_final"	"-"	14.594	16.15666667	6.046666667	11.79333333	7.075	4.19	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"CDS"
"chr1"	2308557	2308565	"IGF2BP3wt_final"	"+"	8.88	11.655	7	1.34	3.3	2.66	"ENSG00000157933.10"	"SKI"	"protein_coding"	"3UTR"
"chr1"	3629326	3629334	"IGF2BP3R525C_final"	"+"	6.105	6.105	9.333333333	10.72	9.9	13.965	"ENSG00000158109.15"	"TPRG1L"	"protein_coding"	"3UTR"
"chr1"	3794472	3794480	"IGF2BP3wt_final"	"-"	33.3	33.3	38.5	58.29	34.98	39.235	"ENSG00000130764.10"	"LRRC47"	"protein_coding"	"intron"
"chr1"	3834999	3835007	"IGF2BP3wt_final"	"-"	9.14	12.35166667	0.3333333333	8.52	0	0.325	"ENSG00000116198.14"	"CEP104"	"protein_coding"	"CDS"
"chr1"	6185998	6186006	"IGF2BP3wt_final"	"-"	9.545	11.21	0	5.03	8.24	1.66	"ENSG00000116251.11"	"RPL22"	"protein_coding"	"3UTR"
"chr1"	6225164	6225172	"IGF2BP3wt_final"	"-"	13.32	6.818571429	4.2	1.786666667	5.28	4.655	"ENSG00000116237.16"	"ICMT"	"protein_coding"	"CDS"
"chr1"	6645822	6645830	"IGF2BP3wt_final"	"-"	6.57	6.015	0	0	1.62	2.783333333	"ENSG00000007923.16"	"DNAJC11"	"protein_coding"	"CDS"
"chr1"	7778153	7778161	"IGF2BP3wt_final"	"+"	6.845	12.765	0	1.34	5.94	2.66	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"CDS"
"chr1"	7962772	7962780	"IGF2BP3R525C_final"	"+"	11.28571429	4.473333333	1.306666667	0	5.87	10.985	"ENSG00000116288.13"	"PARK7"	"protein_coding"	"5UTR"
"chr1"	7985096	7985104	"IGF2BP3R525C_final"	"+"	12.816	8.9775	3.445	1.032	9.68	17.36833333	"ENSG00000116288.13"	"PARK7"	"protein_coding"	"3UTR"
"chr1"	7985132	7985140	"IGF2BP3I474M_final"	"+"	17.976	14.535	14.06666667	25.71333333	9.84	15.945	"ENSG00000116288.13"	"PARK7"	"protein_coding"	"3UTR"
"chr1"	8012503	8012514	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	34.84125	41.361	14.418	24.7975	16.146	25.033	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012798	8012806	"IGF2BP3I474M_final"	"-"	32.01375	45.88875	31.4	25.5	64.69143143	22.73142857	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8013116	8013129	"IGF2BP3I474M_final,IGF2BP3wt_final"	"-"	17.79833333	13.35222222	10.66	11.95428571	10.95428571	1.743333333	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8014014	8014022	"IGF2BP3I474M_final"	"-"	9.655714286	7.911428571	5.054285714	7.208571429	12.89428571	0.7116666667	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014276	8014284	"IGF2BP3I474M_final"	"-"	0	0.1833333333	6.44	2.743333333	6.42	0.09142857143	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8556498	8556508	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	11.68	18.68666667	8.656	7.04	5.715	7.224	"ENSG00000142599.19"	"RERE"	"protein_coding"	"CDS"
"chr1"	8861138	8861146	"IGF2BP3wt_final"	"-"	24.3825	51.43875	15.27142857	11.48285714	14.895	2.035	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"3UTR"
"chr1"	8871132	8871140	"IGF2BP3wt_final"	"-"	5.838	6.726	0	0	2.46	1.17	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"intron"
"chr1"	8871899	8871908	"IGF2BP3I474M_final,IGF2BP3R525C_final"	"-"	77.15666333	13.39333333	38.54888778	15.38	35.76666889	76.56666889	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	8874893	8874901	"IGF2BP3I474M_final"	"-"	5.777142857	15.66	4.002857143	8.8275	1.92	2.53	"ENSG00000074800.16"	"ENO1"	"protein_coding"	"CDS"
"chr1"	10403100	10403108	"IGF2BP3I474M_final"	"+"	3.767142857	13.91625	12.14	12.22571429	2.14	5.218571429	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10416990	10416998	"IGF2BP3wt_final"	"+"	14.455	5.355	6.033333333	1.646666667	3.66	2.42	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10418852	10418860	"IGF2BP3I474M_final"	"+"	38.17875	39.56142857	10.325	26.21	8.75	1.983333333	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10418862	10418870	"IGF2BP3wt_final"	"+"	49.88625	46.77	7.033333333	20.23	5.655	6.422	"ENSG00000142657.21"	"PGD"	"protein_coding"	"CDS"
"chr1"	10420082	10420090	"IGF2BP3wt_final"	"+"	19.302	2.905	2.693333333	0	0.432	0	"ENSG00000142657.21"	"PGD"	"protein_coding"	"3UTR"
"chr1"	11013866	11013874	"IGF2BP3R525C_final"	"+"	0	1.8	0	0.405	4.785	6.865	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11016910	11016918	"IGF2BP3wt_final"	"+"	8.835	4.95	0.69	0	3.78	12.475	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11018783	11018791	"IGF2BP3wt_final"	"+"	6.494	6.538571429	5.366666667	1.645	5.66	26.51833333	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11022518	11022526	"IGF2BP3wt_final"	"+"	5.383333333	9.53	0	13.58	6.95	0.2833333333	"ENSG00000120948.19"	"TARDBP"	"protein_coding"	"CDS"
"chr1"	11056656	11056664	"IGF2BP3I474M_final"	"-"	0	13.64833333	13.3	18.785	2.92	1.155	"ENSG00000116649.10"	"SRM"	"protein_coding"	"CDS"
"chr1"	11908176	11908184	"IGF2BP3R525C_final"	"+"	190.6962587	70.94428429	21.93166167	357.8212737	563.1087175	590.209975	"ENSG00000199347.1"	"RNU5E-1"	"snRNA"	"exon"
"chr1"	11909880	11909890	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	55.932	42.945001	0	25.789997	45.911997	75.799	"ENSG00000201801.1"	"RNU5E-4P"	"snRNA"	"exon"
"chr1"	12568072	12568080	"IGF2BP3wt_final"	"-"	14.985	10.545	7	4.69	7.92	2.66	"ENSG00000162496.9"	"DHRS3"	"protein_coding"	"3UTR"
"chr1"	12617664	12617674	"IGF2BP3R525C_final,IGF2BP3wt_final"	"-"	19.536	11.655	7.933333333	13.4	11.88	15.295	"ENSG00000162496.9"	"DHRS3"	"protein_coding"	"5UTR"
"chr1"	15571898	15571906	"IGF2BP3R525C_final"	"-"	14.496	4.95	0.69	1.87	9.852	12.25333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"3UTR"
"chr1"	15583194	15583202	"IGF2BP3I474M_final"	"-"	13.07	3.356	9.883333333	11.40571429	5.55	1.968333333	"ENSG00000116771.6"	"AGMAT"	"protein_coding"	"CDS"
"chr1"	15661278	15661286	"IGF2BP3wt_final"	"+"	7.77	11.1	2.8	8.04	13.2	5.32	"ENSG00000215695.1"	"RSC1A1"	"protein_coding"	"CDS"
"chr1"	16740640	16740648	"IGF2BP3I474M_final,IGF2BP3R525C_final"	"+"	68.6375	72.93875	107.6712512	77.34625	85.14143286	37.44375	"ENSG00000207389.1"	"RNU1-4"	"snRNA"	"exon"
"chr1"	17023986	17023994	"IGF2BP3wt_final"	"-"	9.6325	6.025	4.29	12.252	0	5.5675	"ENSG00000117118.10"	"SDHB"	"protein_coding"	"CDS"
"chr1"	19104204	19104212	"IGF2BP3R525C_final"	"-"	6.402	0.405	0.345	0.4466666667	4.44	7.195	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19114884	19114892	"IGF2BP3wt_final"	"-"	8.235	9.456	1.373333333	0	0	0	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
"chr1"	19161593	19161601	"IGF2BP3wt_final"	"-"	8.9275	10.5925	0.4	0	4.54	1.975	"ENSG00000127481.15"	"UBR4"	"protein_coding"	"CDS"
