Uniprot ID;Gene name;Protein name;MCF7 pre15 confluent;MCF7 pre30 confluent;MCF7 pre15 half confluent;MCF7 pre30 half confluent;MCF7 combined;HEK293 pre15 confluent;HEK293 pre30 confluent;HEK293 pre15 half confluent;HEK293 pre30 half confluent;HEK293 combined;HeLa pre15 confluent;HeLa pre30 confluent;HeLa pre15 half confluent;HeLa pre30 half confluent;HeLa combined;all combined;MCF7 RBP;HEK293 RBP;HeLa RBP;ihRBP
Q09666;AHNAK;Neuroblast differentiation-associated protein AHNAK;73;51;34;51;110;29;15;45;27;66;32;10;32;29;76;143;poly(A);non-poly(A);poly(A);poly(A)
P46013;MKI67;Proliferation marker protein Ki-67;8;4;16;19;29;11;8;36;29;53;57;27;71;57;107;114;non-poly(A);non-poly(A);poly(A);poly(A)
P42704;LRPPRC;Leucine-rich PPR motif-containing protein, mitochondrial;67;72;70;68;92;51;57;65;57;79;60;60;56;57;81;102;poly(A);poly(A);poly(A);poly(A)
Q15149;PLEC;Plectin;20;9;29;32;61;5;1;9;6;14;10;5;23;17;49;93;poly(A);non-poly(A);poly(A);poly(A)
P78527;PRKDC;DNA-dependent protein kinase catalytic subunit;14;12;8;5;28;34;27;22;21;65;7;12;24;12;41;87;poly(A);poly(A);non-poly(A);poly(A)
Q14690;PDCD11;Protein RRP5 homolog;40;48;41;49;62;35;33;39;38;58;40;36;35;29;64;81;poly(A);non-poly(A);poly(A);poly(A)
Q6P2Q9;PRPF8;Pre-mRNA-processing-splicing factor 8;35;30;27;30;55;28;39;22;20;59;26;20;24;21;53;78;poly(A);poly(A);poly(A);poly(A)
Q96T58;SPEN;Msx2-interacting protein;26;18;24;27;37;30;22;35;19;57;24;11;34;27;50;75;poly(A);poly(A);poly(A);poly(A)
O75691;UTP20;Small subunit processome component 20 homolog;29;34;33;39;55;21;13;34;26;49;33;18;27;23;51;70;poly(A);poly(A);poly(A);poly(A)
Q14152;EIF3A;Eukaryotic translation initiation factor 3 subunit A;35;37;40;43;61;21;30;36;33;49;18;23;25;30;42;68;poly(A);poly(A);poly(A);poly(A)
P19338;NCL;Nucleolin;24;22;16;21;41;12;14;8;16;31;25;18;14;11;39;66;poly(A);poly(A);poly(A);poly(A)
Q00341;HDLBP;Vigilin;34;30;45;46;57;24;20;39;33;49;39;24;34;34;53;66;poly(A);poly(A);poly(A);poly(A)
Q9BQG0;MYBBP1A;Myb-binding protein 1A;26;34;34;31;47;29;41;31;27;56;36;35;28;31;56;66;poly(A);poly(A);poly(A);poly(A)
P52272;HNRNPM;Heterogeneous nuclear ribonucleoprotein M;42;40;39;43;55;34;43;38;33;52;33;35;40;42;57;64;poly(A);poly(A);poly(A);poly(A)
Q9Y520;PRRC2C;Protein PRRC2C;28;19;28;30;43;19;14;34;24;46;25;13;39;30;51;64;poly(A);poly(A);poly(A);poly(A)
Q8TDD1;DDX54;ATP-dependent RNA helicase DDX54;34;32;41;40;52;19;17;31;27;41;28;18;38;34;48;63;poly(A);poly(A);poly(A);poly(A)
O75534;CSDE1;Cold shock domain-containing protein E1;48;46;50;53;60;28;30;34;38;47;34;24;39;34;49;61;poly(A);poly(A);poly(A);poly(A)
Q08211;DHX9;ATP-dependent RNA helicase A;31;32;31;35;48;31;44;26;26;55;26;32;30;24;45;60;poly(A);poly(A);poly(A);poly(A)
P15924;DSP;Desmoplakin;10;11;24;22;36;11;2;11;12;25;16;8;18;14;35;58;poly(A);non-poly(A);poly(A);poly(A)
Q7KZF4;SND1;Staphylococcal nuclease domain-containing protein 1;35;35;41;41;49;20;26;30;27;44;25;24;36;32;47;55;poly(A);poly(A);poly(A);poly(A)
Q9NR30;DDX21;Nucleolar RNA helicase 2;33;32;29;33;45;15;26;14;14;38;25;27;15;14;43;54;poly(A);poly(A);poly(A);poly(A)
Q9NZB2;FAM120A;Constitutive coactivator of PPAR-gamma-like protein 1;37;34;37;35;49;24;25;27;31;43;21;19;28;24;37;53;poly(A);poly(A);poly(A);poly(A)
Q6PKG0;LARP1;La-related protein 1;31;35;24;23;44;30;32;23;22;40;14;9;21;16;27;52;poly(A);poly(A);poly(A);poly(A)
Q7L2E3;DHX30;Putative ATP-dependent RNA helicase DHX30;23;24;24;23;39;19;18;29;22;41;25;23;24;26;40;52;poly(A);poly(A);poly(A);poly(A)
Q9BVJ6;UTP14A;U3 small nucleolar RNA-associated protein 14 homolog A;27;30;28;30;40;15;21;24;23;37;31;20;25;25;41;52;poly(A);poly(A);poly(A);poly(A)
Q5JTH9;RRP12;RRP12-like protein;13;21;20;20;34;17;20;18;21;42;20;19;19;22;35;50;poly(A);poly(A);poly(A);poly(A)
