"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP1wt_rep1"	"IGF2BP1wt_rep2"	"IGF2BP1R167C_rep1"	"IGF2BP1R167C_rep2"	"IGF2BP1R167H_rep1"	"IGF2BP1R167H_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr1"	1373749	1373758	"IGF2BP1R168C,IGF2BP1wt"	"-"	7.33	20.29333333	9.09	21.574	3.77	2.346666667	"ENSG00000175756.13"	"AURKAIP1"	"protein_coding"	"3UTR"
"chr1"	1390844	1390852	"IGF2BP1wt"	"-"	20.90666667	14.308	5.1	10.9	8	3.21	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"CDS"
"chr1"	1391270	1391282	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	16.58666667	10.96857143	12.05	22.19571429	6.685714286	10.99333333	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"3UTR"
"chr1"	1391588	1391596	"IGF2BP1wt"	"-"	7.26	10.9	5.85	5.536666667	1.18	7.88	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"intron"
"chr1"	1392548	1392563	"IGF2BP1R168C,IGF2BP1R168H,IGF2BP1wt"	"-"	17.68	20.79111111	20.27333333	31.44545455	22.36	13.17	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"3UTR"
"chr1"	1406920	1406928	"IGF2BP1wt"	"-"	22.62666667	25.89333333	15.468	19.7	14.42857143	5.198	"ENSG00000242485.6"	"MRPL20"	"protein_coding"	"CDS"
"chr1"	1439222	1439230	"IGF2BP1wt"	"+"	4.936	3.884	0.24	8.423333333	1.436666667	4.11625	"ENSG00000179403.12"	"VWA1"	"protein_coding"	"CDS"
"chr1"	1523896	1523905	"IGF2BP1R168C,IGF2BP1R168H"	"+"	1.653333333	13.31	6.505714286	6.27	6.857142857	6.618	"ENSG00000197785.14"	"ATAD3A"	"protein_coding"	"CDS"
"chr1"	1541678	1541686	"IGF2BP1wt"	"-"	5.22	5.506666667	0	3.23	0	0	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"3UTR"
"chr1"	1542020	1542029	"IGF2BP1R168C,IGF2BP1wt"	"-"	14.74	8.844	6.42	15.645	1	5.123333333	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"3UTR"
