UNIQUE;ID;Description;Hs_HEK293-RIC;Hs_HuH7-RIC;Hs_HeLa-RIC;Hs_HeLa-RBDmap;Hs_JURKAT-2018-RIC;Hs_JURKAT-2018-eRIC;Hs_Cyto-eRIC;Hs_Nuc-eRIC
A1CF;ENSG00000148584;"APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]";FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE
A2ML1;ENSG00000166535;"alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
AAAS;ENSG00000094914;"aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AAK1;ENSG00000115977;"AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AAR2;ENSG00000131043;"AAR2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:15886]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AARS;ENSG00000090861;"alanyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:20]";FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
AARS2;ENSG00000124608;"alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AARSD1;ENSG00000266967;"alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AASDHPPT;ENSG00000149313;"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
AATF;ENSG00000275700|ENSG00000276072;"apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]";TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE
ABCA1;ENSG00000165029;"ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCA2;ENSG00000107331;"ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCB1;ENSG00000085563;"ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
ABCB10;ENSG00000135776;"ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]";FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
