UniProt;Protein.name;Gene.name
O00213;Amyloid beta A4 precursor protein-binding family B member 1;APBB1
Q16881;Thioredoxin reductase 1, cytoplasmic;TXNRD1
Q8N5I9;Uncharacterized protein C12orf45;C12orf45
Q9Y6N7;Roundabout homolog 1;ROBO1
P04114;"Apolipoprotein B-100;Apolipoprotein B-48";APOB
O15318;DNA-directed RNA polymerase III subunit RPC7;POLR3G
Q96T88;E3 ubiquitin-protein ligase UHRF1;UHRF1
Q8WYA6;Beta-catenin-like protein 1;CTNNBL1
Q9Y388;RNA-binding motif protein, X-linked 2;RBMX2
O14979;Heterogeneous nuclear ribonucleoprotein D-like;HNRPDL
Q3LXA3;"Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing);ATP-dependent dihydroxyacetone kinase;FAD-AMP lyase (cyclizing)";DAK
P07203;Glutathione peroxidase 1;GPX1
P62847;40S ribosomal protein S24;RPS24
O60841;Eukaryotic translation initiation factor 5B;EIF5B
P47974;Zinc finger protein 36, C3H1 type-like 2;ZFP36L2
Q9H299;SH3 domain-binding glutamic acid-rich-like protein 3;SH3BGRL3
P46013;Antigen KI-67;MKI67
Q8WTW3;Conserved oligomeric Golgi complex subunit 1;COG1
Q00610;Clathrin heavy chain 1;CLTC
P22694;cAMP-dependent protein kinase catalytic subunit beta;PRKACB
Q6DN90;IQ motif and SEC7 domain-containing protein 1;IQSEC1
Q9P2T1;"GMP reductase 2;GMP reductase";GMPR2
Q5VWQ0;Round spermatid basic protein 1;RSBN1
Q96FV9;THO complex subunit 1;THOC1
Q15643;Thyroid receptor-interacting protein 11;TRIP11
P18621;60S ribosomal protein L17;RPL17
Q5TBB1;Ribonuclease H2 subunit B;RNASEH2B
Q9Y5A9;YTH domain family protein 2;YTHDF2
Q9NP79;Vacuolar protein sorting-associated protein VTA1 homolog;VTA1
Q96CW1;AP-2 complex subunit mu;AP2M1
P61077;Ubiquitin-conjugating enzyme E2 D3;UBE2D3
Q7Z478;ATP-dependent RNA helicase DHX29;DHX29
Q9Y5X1;Sorting nexin-9;SNX9
Q8IY67;Ribonucleoprotein PTB-binding 1;RAVER1
O00584;Ribonuclease T2;RNASET2
