"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP2a_rep1"	"IGF2BP2a_rep2"	"IGF2BP2b_rep1"	"IGF2BP2b_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr1"	1255452	1255460	"IGF2BP2a_final"	"-"	13.77	16.11	0	1.94	"ENSG00000160087.21"	"UBE2J2"	"protein_coding"	"CDS"
"chr1"	1390843	1390851	"IGF2BP2a_final"	"-"	11.97	13.104	15.96	14.352	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"CDS"
"chr1"	1391271	1391279	"IGF2BP2b_final"	"-"	7.89	7.6	9.45	8.373333333	"ENSG00000221978.12"	"CCNL2"	"protein_coding"	"3UTR"
"chr1"	1440729	1440737	"IGF2BP2a_final"	"+"	16.104	13.3325	7.44	3.42	"ENSG00000179403.12"	"VWA1"	"protein_coding"	"3UTR"
"chr1"	1518922	1518930	"IGF2BP2a_final"	"+"	7.44	12.34666667	5.73	0	"ENSG00000197785.14"	"ATAD3A"	"protein_coding"	"CDS"
"chr1"	1564771	1564779	"IGF2BP2a_final,IGF2BP2b_final"	"-"	17.27142857	20.2275	6.762857143	13.305	"ENSG00000160075.12"	"SSU72"	"protein_coding"	"CDS"
"chr1"	1785335	1785343	"IGF2BP2a_final,IGF2BP2b_final"	"-"	26.052	12.014	11.46	6.84	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1785470	1785478	"IGF2BP2b_final"	"-"	10.52	0	15.08	13.712	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1787012	1787020	"IGF2BP2b_final"	"-"	11.52	2.89	7.188	10.82	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"3UTR"
"chr1"	1789073	1789081	"IGF2BP2a_final"	"-"	12.43666667	8.97	10.61714286	4.18	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"CDS"
"chr1"	1806482	1806490	"IGF2BP2a_final"	"-"	6.09	5.664	4.668	0.97	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"CDS"
"chr1"	1839206	1839214	"IGF2BP2a_final"	"-"	19.32666667	14.502	0	0.24	"ENSG00000078369.18"	"GNB1"	"protein_coding"	"5UTR"
"chr1"	2395851	2395859	"IGF2BP2a_final"	"+"	29.684	13.546	3.008	2.64	"ENSG00000157916.20"	"RER1"	"protein_coding"	"CDS"
"chr1"	2397168	2397176	"IGF2BP2b_final"	"+"	1.14	1.775	10.46	8.135	"ENSG00000157916.20"	"RER1"	"protein_coding"	"CDS"
"chr1"	2405422	2405430	"IGF2BP2b_final"	"-"	2.58	2.23	11.04	8.352	"ENSG00000157911.11"	"PEX10"	"protein_coding"	"3UTR"
"chr1"	3628807	3628815	"IGF2BP2a_final"	"+"	5.49	7.025	1.98	0.635	"ENSG00000158109.15"	"TPRG1L"	"protein_coding"	"3UTR"
"chr1"	3629335	3629343	"IGF2BP2a_final"	"+"	26.07666667	17.23	1.28	10.44	"ENSG00000158109.15"	"TPRG1L"	"protein_coding"	"3UTR"
"chr1"	3794472	3794482	"IGF2BP2a_final,IGF2BP2b_final"	"-"	40.28	23.66	17.67	12.48	"ENSG00000130764.10"	"LRRC47"	"protein_coding"	"intron"
"chr1"	6233595	6233603	"IGF2BP2a_final"	"-"	14.7	11.4	7.335	22.07	"ENSG00000116237.16"	"ICMT"	"protein_coding"	"CDS"
"chr1"	6532637	6532645	"IGF2BP2b_final"	"-"	3.56	7.978333333	8.12	10.44	"ENSG00000162408.11"	"NOL9"	"protein_coding"	"CDS"
"chr1"	6635682	6635690	"IGF2BP2a_final"	"-"	9.344	8.555	10.30333333	5	"ENSG00000007923.16"	"DNAJC11"	"protein_coding"	"CDS"
"chr1"	7773480	7773488	"IGF2BP2a_final"	"+"	7.366666667	3.244	0.22	0	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"CDS"
"chr1"	7779670	7779678	"IGF2BP2b_final"	"+"	4.182857143	9.01	8.58	5.5	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7780658	7780666	"IGF2BP2b_final"	"+"	8.2	14.925	23.02	15.38	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7780668	7780676	"IGF2BP2a_final"	"+"	12.57	11.89166667	17.04857143	13.07714286	"ENSG00000049245.13"	"VAMP3"	"protein_coding"	"3UTR"
"chr1"	7962792	7962800	"IGF2BP2b_final"	"+"	15.67	19.47375	15.56	12.925	"ENSG00000116288.13"	"PARK7"	"protein_coding"	"CDS"
"chr1"	8011813	8011822	"IGF2BP2a_final,IGF2BP2b_final"	"-"	41.65	33.68714286	27.01	24.92333333	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012118	8012126	"IGF2BP2a_final,IGF2BP2b_final"	"-"	4.054285714	8.127142857	16.39	9.093333333	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8012505	8012513	"IGF2BP2a_final"	"-"	47.31	53.1625	27.65142857	40.80333333	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8013260	8013268	"IGF2BP2b_final"	"-"	21.8025	9.455714286	24.51	15.725	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8013379	8013387	"IGF2BP2a_final"	"-"	45.76	19.17	5.64	0	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8013611	8013622	"IGF2BP2a_final,IGF2BP2b_final"	"-"	18.19333333	11.39111111	5.855	16.976	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014018	8014026	"IGF2BP2b_final"	"-"	39.9825	43.98375	29.63142857	24.955	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8014030	8014038	"IGF2BP2a_final"	"-"	41.61428571	45.64857143	23.04857143	20.09428571	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8015082	8015090	"IGF2BP2b_final"	"-"	0.7	0	7.05	12.704	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"3UTR"
"chr1"	8015350	8015358	"IGF2BP2a_final"	"-"	23.74	13.99714286	0	0.58	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"CDS"
"chr1"	8015623	8015631	"IGF2BP2b_final"	"-"	9.696	9.888	11.64	16.18	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"5UTR"
"chr1"	8017244	8017252	"IGF2BP2a_final"	"-"	5.54	11.558	5.16	6.02	"ENSG00000116285.13"	"ERRFI1"	"protein_coding"	"intron"
